d/a, Gap size, 386, 866, 1538, 2402, F*
1.101320000000000073e+04,1.101220000000000255e+03,9.918380766960397388e-01,9.961270824299444104e-01,9.979313813343818618e-01,9.988659452892632018e-01,1.000000000000000000e+00
1.006770000000000032e+01,9.067700000000001870e-01,1.114540640002962490e+00,1.119968064435632682e+00,1.122254559247089389e+00,1.123440026874835462e+00,1.125299999999999967e+00
3.762199999999999989e+00,2.762200000000000211e-01,1.384457263275362449e+00,1.393110357564195434e+00,1.396808159464976828e+00,1.398748756937561621e+00,1.412900000000000045e+00
1.543099999999999916e+00,5.430999999999999717e-02,2.126922010325109635e+00,2.157156610558293774e+00,2.171539577267284749e+00,2.179753836075991824e+00,3.036099999999999799e+00
1.127599999999999936e+00,1.275999999999999357e-02,2.539331764012414006e+00,2.613800460236969325e+00,2.670618485128656516e+00,2.704105122761579771e+00,9.251799999999999358e+00
1.045299999999999896e+00,4.529999999999992366e-03,2.305196096475901957e+00,1.650512924793182234e+00,2.203174630669455070e+00,2.493901241637774380e+00,2.366049999999999898e+01
1.004999999999999893e+00,4.999999999999865663e-04,2.426399738732305966e+00,2.204394924370015829e+00,1.825523525647624767e+00,2.021154481824203319e+00,2.018640000000000043e+02
